date_id,full_date,year,quarter,month,month_name,week,day,day_name,day_of_week,is_weekend,is_holiday,holiday_name,season
20250101,2025-01-01,2025,1,1,January,1,1,Wednesday,3,False,False,,Winter
20250102,2025-01-02,2025,1,1,January,1,2,Thursday,4,False,False,,Winter
20250103,2025-01-03,2025,1,1,January,1,3,Friday,5,False,False,,Winter
20250104,2025-01-04,2025,1,1,January,1,4,Saturday,6,True,False,,Winter
20250105,2025-01-05,2025,1,1,January,1,5,Sunday,7,True,False,,Winter
20250106,2025-01-06,2025,1,1,January,2,6,Monday,1,False,False,,Winter
20250107,2025-01-07,2025,1,1,January,2,7,Tuesday,2,False,False,,Winter
20250108,2025-01-08,2025,1,1,January,2,8,Wednesday,3,False,False,,Winter
20250109,2025-01-09,2025,1,1,January,2,9,Thursday,4,False,False,,Winter
20250110,2025-01-10,2025,1,1,January,2,10,Friday,5,False,False,,Winter
20250111,2025-01-11,2025,1,1,January,2,11,Saturday,6,True,False,,Winter
20250112,2025-01-12,2025,1,1,January,2,12,Sunday,7,True,False,,Winter
20250113,2025-01-13,2025,1,1,January,3,13,Monday,1,False,False,,Winter
20250114,2025-01-14,2025,1,1,January,3,14,Tuesday,2,False,False,,Winter
20250115,2025-01-15,2025,1,1,January,3,15,Wednesday,3,False,False,,Winter
20250116,2025-01-16,2025,1,1,January,3,16,Thursday,4,False,False,,Winter
20250117,2025-01-17,2025,1,1,January,3,17,Friday,5,False,False,,Winter
20250118,2025-01-18,2025,1,1,January,3,18,Saturday,6,True,False,,Winter
20250119,2025-01-19,2025,1,1,January,3,19,Sunday,7,True,False,,Winter
20250120,2025-01-20,2025,1,1,January,4,20,Monday,1,False,False,,Winter
20250121,2025-01-21,2025,1,1,January,4,21,Tuesday,2,False,False,,Winter
20250122,2025-01-22,2025,1,1,January,4,22,Wednesday,3,False,False,,Winter
20250123,2025-01-23,2025,1,1,January,4,23,Thursday,4,False,False,,Winter
20250124,2025-01-24,2025,1,1,January,4,24,Friday,5,False,False,,Winter
20250125,2025-01-25,2025,1,1,January,4,25,Saturday,6,True,False,,Winter
20250126,2025-01-26,2025,1,1,January,4,26,Sunday,7,True,False,,Winter
20250127,2025-01-27,2025,1,1,January,5,27,Monday,1,False,False,,Winter
20250128,2025-01-28,2025,1,1,January,5,28,Tuesday,2,False,False,,Winter
20250129,2025-01-29,2025,1,1,January,5,29,Wednesday,3,False,False,,Winter
20250130,2025-01-30,2025,1,1,January,5,30,Thursday,4,False,False,,Winter
20250131,2025-01-31,2025,1,1,January,5,31,Friday,5,False,False,,Winter
20250201,2025-02-01,2025,1,2,February,5,1,Saturday,6,True,False,,Winter
20250202,2025-02-02,2025,1,2,February,5,2,Sunday,7,True,False,,Winter
20250203,2025-02-03,2025,1,2,February,6,3,Monday,1,False,False,,Winter
20250204,2025-02-04,2025,1,2,February,6,4,Tuesday,2,False,False,,Winter
20250205,2025-02-05,2025,1,2,February,6,5,Wednesday,3,False,False,,Winter
20250206,2025-02-06,2025,1,2,February,6,6,Thursday,4,False,False,,Winter
20250207,2025-02-07,2025,1,2,February,6,7,Friday,5,False,False,,Winter
20250208,2025-02-08,2025,1,2,February,6,8,Saturday,6,True,False,,Winter
20250209,2025-02-09,2025,1,2,February,6,9,Sunday,7,True,False,,Winter
20250210,2025-02-10,2025,1,2,February,7,10,Monday,1,False,False,,Winter
20250211,2025-02-11,2025,1,2,February,7,11,Tuesday,2,False,False,,Winter
20250212,2025-02-12,2025,1,2,February,7,12,Wednesday,3,False,False,,Winter
20250213,2025-02-13,2025,1,2,February,7,13,Thursday,4,False,False,,Winter
20250214,2025-02-14,2025,1,2,February,7,14,Friday,5,False,False,,Winter
20250215,2025-02-15,2025,1,2,February,7,15,Saturday,6,True,False,,Winter
20250216,2025-02-16,2025,1,2,February,7,16,Sunday,7,True,False,,Winter
20250217,2025-02-17,2025,1,2,February,8,17,Monday,1,False,False,,Winter
20250218,2025-02-18,2025,1,2,February,8,18,Tuesday,2,False,False,,Winter
20250219,2025-02-19,2025,1,2,February,8,19,Wednesday,3,False,False,,Winter
20250220,2025-02-20,2025,1,2,February,8,20,Thursday,4,False,False,,Winter
20250221,2025-02-21,2025,1,2,February,8,21,Friday,5,False,False,,Winter
20250222,2025-02-22,2025,1,2,February,8,22,Saturday,6,True,False,,Winter
20250223,2025-02-23,2025,1,2,February,8,23,Sunday,7,True,False,,Winter
20250224,2025-02-24,2025,1,2,February,9,24,Monday,1,False,False,,Winter
20250225,2025-02-25,2025,1,2,February,9,25,Tuesday,2,False,False,,Winter
20250226,2025-02-26,2025,1,2,February,9,26,Wednesday,3,False,False,,Winter
20250227,2025-02-27,2025,1,2,February,9,27,Thursday,4,False,False,,Winter
20250228,2025-02-28,2025,1,2,February,9,28,Friday,5,False,False,,Winter
20250301,2025-03-01,2025,1,3,March,9,1,Saturday,6,True,False,,Spring
20250302,2025-03-02,2025,1,3,March,9,2,Sunday,7,True,False,,Spring
20250303,2025-03-03,2025,1,3,March,10,3,Monday,1,False,False,,Spring
20250304,2025-03-04,2025,1,3,March,10,4,Tuesday,2,False,False,,Spring
20250305,2025-03-05,2025,1,3,March,10,5,Wednesday,3,False,False,,Spring
20250306,2025-03-06,2025,1,3,March,10,6,Thursday,4,False,False,,Spring
20250307,2025-03-07,2025,1,3,March,10,7,Friday,5,False,False,,Spring
20250308,2025-03-08,2025,1,3,March,10,8,Saturday,6,True,False,,Spring
20250309,2025-03-09,2025,1,3,March,10,9,Sunday,7,True,False,,Spring
20250310,2025-03-10,2025,1,3,March,11,10,Monday,1,False,False,,Spring
20250311,2025-03-11,2025,1,3,March,11,11,Tuesday,2,False,False,,Spring
20250312,2025-03-12,2025,1,3,March,11,12,Wednesday,3,False,False,,Spring
20250313,2025-03-13,2025,1,3,March,11,13,Thursday,4,False,False,,Spring
20250314,2025-03-14,2025,1,3,March,11,14,Friday,5,False,False,,Spring
20250315,2025-03-15,2025,1,3,March,11,15,Saturday,6,True,False,,Spring
20250316,2025-03-16,2025,1,3,March,11,16,Sunday,7,True,False,,Spring
20250317,2025-03-17,2025,1,3,March,12,17,Monday,1,False,False,,Spring
20250318,2025-03-18,2025,1,3,March,12,18,Tuesday,2,False,False,,Spring
20250319,2025-03-19,2025,1,3,March,12,19,Wednesday,3,False,False,,Spring
20250320,2025-03-20,2025,1,3,March,12,20,Thursday,4,False,False,,Spring
20250321,2025-03-21,2025,1,3,March,12,21,Friday,5,False,False,,Spring
20250322,2025-03-22,2025,1,3,March,12,22,Saturday,6,True,False,,Spring
20250323,2025-03-23,2025,1,3,March,12,23,Sunday,7,True,False,,Spring
20250324,2025-03-24,2025,1,3,March,13,24,Monday,1,False,False,,Spring
20250325,2025-03-25,2025,1,3,March,13,25,Tuesday,2,False,False,,Spring
20250326,2025-03-26,2025,1,3,March,13,26,Wednesday,3,False,False,,Spring
20250327,2025-03-27,2025,1,3,March,13,27,Thursday,4,False,False,,Spring
20250328,2025-03-28,2025,1,3,March,13,28,Friday,5,False,False,,Spring
20250329,2025-03-29,2025,1,3,March,13,29,Saturday,6,True,False,,Spring
20250330,2025-03-30,2025,1,3,March,13,30,Sunday,7,True,False,,Spring
20250331,2025-03-31,2025,1,3,March,14,31,Monday,1,False,False,,Spring
